Timestamp,1. Gender:,2. Age:,3. Academic Level:,4. Religion:,5. Ethnicity:,6. Marital Status:,7.Employement Status:,8.  Are you familiar with the terms “pro-life” and “pro-choice”?,9. What is your stance on abortion?,10. Have you participated in a pro-life or pro-choice demonstration?,11. what is your opinion on UCC’s policies regarding abortion?,12. Do you believe that access to contraception can help reduce the need for abortion?,"13. Do you think individuals should have the right to choose their own healthcare, including the right to access abortion services?",14. Have your views on abortion changed over time?,15. what do you think is the most important factor when discussing abortion?,16. Do you think individuals with religious beliefs should have the right to refuse to provide or participate in abortion services ?,17. Do you think the government should provide funding for abortion services ?,18. Do you think comprehensive sex education should be thought in school?
2023/07/17 7:59:15 pm GMT,1,0 years,3,0,0,1,2,1,0,2,2,0,1,2,4,1,0,1
2023/07/17 8:04:44 pm GMT,1,0 years,1,0,2,1,2,1,1,2,1,0,0,1,4,0,0,0
2023/07/17 8:06:31 pm GMT,1,0 years,2,0,0,1,2,1,0,2,0,0,1,0,3,0,1,0
2023/07/17 8:10:47 pm GMT,1,0 years,2,0,0,1,2,0,1,2,1,0,0,0,4,0,0,0
2023/07/17 8:12:16 pm GMT,1,0 years,2,0,0,1,2,0,0,2,2,0,0,2,4,0,0,0
2023/07/17 8:13:10 pm GMT,1,0 years,2,0,0,1,2,1,2,2,1,0,0,2,2,1,2,0
2023/07/17 8:13:51 pm GMT,1,0 years,3,0,8,1,2,2,1,2,0,0,0,2,4,1,1,0
2023/07/17 8:15:06 pm GMT,1,0 years,2,0,1,1,2,0,1,2,1,0,0,1,4,0,2,0
2023/07/17 8:15:33 pm GMT,1,0 years,2,0,6,1,2,0,0,2,0,0,2,2,4,1,1,0
2023/07/17 8:18:47 pm GMT,1,0 years,2,0,1,1,2,0,2,2,2,0,0,2,4,2,1,0
2023/07/17 8:19:24 pm GMT,1,0 years,2,0,6,1,2,1,1,2,1,0,0,1,4,2,2,0
2023/07/17 8:22:11 pm GMT,1,0 years,2,1,7,1,2,0,2,2,2,0,2,2,2,0,2,0
2023/07/17 8:22:41 pm GMT,1,0 years,2,0,0,1,2,1,0,2,1,0,0,2,4,0,2,0
2023/07/17 8:25:19 pm GMT,1,0 years,2,0,0,1,2,0,2,2,0,0,0,2,4,0,2,0
2023/07/17 8:30:36 pm GMT,1,0 years,2,0,1,1,2,1,0,2,0,0,0,2,4,2,2,0
2023/07/17 8:36:07 pm GMT,1,0 years,2,0,8,1,2,0,1,2,2,0,0,1,4,0,1,0
2023/07/17 8:42:34 pm GMT,0,0 years,2,0,8,1,2,0,2,2,1,0,0,1,2,0,0,0
2023/07/17 8:44:03 pm GMT,1,0 years,2,0,2,1,2,0,0,2,0,0,1,2,4,0,1,0
2023/07/17 8:46:32 pm GMT,0,0 years,2,0,0,1,2,0,1,2,2,0,0,2,4,2,1,1
2023/07/17 8:49:01 pm GMT,1,0 years,2,0,0,1,2,1,2,1,1,1,1,1,2,1,1,0
2023/07/17 8:59:59 pm GMT,1,0 years,1,0,2,1,2,0,0,2,0,0,1,0,4,0,1,0
2023/07/17 9:06:04 pm GMT,1,0 years,2,0,3,1,2,1,0,2,0,0,0,0,4,2,1,0
2023/07/17 9:07:19 pm GMT,1,0 years,2,0,2,1,2,1,0,2,0,0,1,0,2,0,1,0
2023/07/17 9:07:45 pm GMT,1,0 years,1,0,0,1,2,0,1,2,1,0,0,1,4,2,0,0
2023/07/17 9:07:52 pm GMT,1,1 years,2,0,8,1,2,0,0,2,0,0,0,0,2,0,1,0
